separation,traction_GPa
0.0,0.02209672243268253
0.1,12.349615787719884
0.2,21.59951846961008
0.3,28.047534104659388
0.4,32.250539104151024
0.5,34.00001264283401
0.6,35.04506913052803
0.7,34.7881479063356
0.8,33.60351319244489
0.9,31.29429020957701
1.0,27.635166261588292
1.1,23.440487932686356
1.2,20.570833159396546
1.3,18.231073908847797
1.4,16.38725706193104
1.5,14.922804060291329
1.6,13.783260610431062
1.7,12.694723815362527
1.8,11.477090231880455
1.9,10.6084535349748
2.0,9.564525741984468
2.1,8.948664887725418
2.2,8.094860234623065
2.3,7.27287958050211
2.4,6.499484018969315
2.5,5.864271209882411
2.6,5.176209939749317
2.7,4.693750286059582
2.8,4.10059666551868
2.9,3.488265537338969
3.0,3.37165619968067
3.1,2.902807557246561
3.2,2.690844211552015
3.3,2.227910939925034
3.4,1.8306778411709714
3.5,1.290583038359431
3.6,1.2695790931549715
3.7,1.4924599706603163
3.8,0.9706602489562848
3.9,1.1421907434220628
4.0,0.6285689121459657
