separation,traction_GPa
0.0,0.042647882104130244
0.1,13.291402507680598
0.2,22.901555855284172
0.3,29.40809282667817
0.4,33.134006914370175
0.5,34.665753612444576
0.6,34.92996296317308
0.7,33.88528580731165
0.8,32.143941974304845
0.9,30.322178081431698
1.0,28.023676486280078
1.1,25.721837354292806
1.2,22.98791091463798
1.3,20.382747994370447
1.4,18.16920114578124
1.5,16.304201681517096
1.6,14.363099171888978
1.7,12.924310056352527
1.8,11.270837690207555
1.9,10.082029853146715
2.0,8.83884198689974
2.1,7.597243077480795
2.2,6.479960049214515
2.3,5.937378599485891
2.4,5.519693476270303
2.5,4.540156283856187
2.6,3.986082111938145
2.7,3.3098324317329775
2.8,3.1766140386504845
2.9,2.7297037243500815
3.0,2.5178864063733246
3.1,2.3363680963431253
3.2,1.6198576011159207
3.3,1.795593276802045
3.4,1.6245664214200977
3.5,1.3072322387238469
3.6,1.1712132257023467
3.7,1.2828900128391894
3.8,0.8916149446970034
3.9,0.9155871433665335
4.0,0.32039600728024198
